niche,feature,category2,category_label,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor,overall_mean_importance_share,overall_selection_frequency,overall_top5_frequency,importance_difference_from_all_zones,importance_ratio_to_all_zones,selection_frequency_difference,top5_frequency_difference
climate,Tmin_sm,cropland,cropland,Temperature,Summer,7,0.0380875974400332,0.0280288042810931,0.0499784132285827,5,2,4,0.0105938922391821,0.714285714285714,0.285714285714286,0.571428571428571,6,within-category pattern,TRUE,0.0263179862810271,0.584905660377359,0.113207547169811,0.0117696111590062,1.44720789171818,0.129380053908356,0.172506738544474
climate,DD18_sm,cropland,cropland,Growing season and degree-days,Summer,7,0.0248591479676236,0.0267230305370674,0.0281487694987553,4,1,2,0.0101003561541522,0.571428571428571,0.142857142857143,0.285714285714286,17,within-category pattern,FALSE,0.0138476706952995,0.358490566037736,0.0188679245283019,0.011011477272324,1.79518624573169,0.212938005390836,0.123989218328841
climate,Tmin_wt,cropland,cropland,Temperature,Winter,7,0.030850149064285,0.053355996778211,0,2,2,2,0.0201666712041585,0.285714285714286,0.285714285714286,0.285714285714286,12,within-category pattern,FALSE,0.0212110363035326,0.358490566037736,0.113207547169811,0.00963911276075245,1.45443855843795,-0.0727762803234501,0.172506738544474
climate,CMD_sp,cropland,cropland,Climatic moisture balance,Spring,7,0.0334392967765557,0.0171568166915059,0.0378633783200428,6,0,1,0.00648466717932094,0.857142857142857,0,0.142857142857143,8,within-category pattern,FALSE,0.0239649766202986,0.622641509433962,0.0377358490566038,0.00947432015625711,1.39534026284976,0.234501347708895,-0.0377358490566038
climate,DD_18_at,cropland,cropland,Growing season and degree-days,Autumn,7,0.0172311760975366,0.0294677169959126,0,2,0,2,0.0111377501251451,0.285714285714286,0,0.285714285714286,26,within-category pattern,FALSE,0.00828391743415228,0.169811320754717,0,0.00894725866338429,2.08007578956512,0.115902964959569,0
climate,DD5_wt,cropland,cropland,Growing season and degree-days,Winter,7,0.0103033180879443,0.0272600173394942,0,1,1,1,0.0103033180879443,0.142857142857143,0.142857142857143,0.142857142857143,33,within-category pattern,FALSE,0.00136081559652095,0.0188679245283019,0.0188679245283019,0.00894250249142339,7.57142857142857,0.123989218328841,0.123989218328841
climate,DD_0_at,cropland,cropland,Growing season and degree-days,Autumn,7,0.0169612180005781,0.029187075395671,0,2,1,2,0.0110316775706054,0.285714285714286,0.142857142857143,0.285714285714286,27,within-category pattern,FALSE,0.00812992839933317,0.150943396226415,0.0566037735849057,0.0088312896012449,2.08626905028699,0.134770889487871,0.0862533692722372
climate,DD5_sp,cropland,cropland,Growing season and degree-days,Spring,7,0.016441823494876,0.0282288103864659,0,2,0,2,0.010669487441398,0.285714285714286,0,0.285714285714286,28,within-category pattern,FALSE,0.00868690729657537,0.169811320754717,0,0.00775491619830062,1.89271312948831,0.115902964959569,0
climate,RH_at,cropland,cropland,Humidity,Autumn,7,0.0184623244992703,0.030488315583503,0,3,1,1,0.0115235001324577,0.428571428571429,0.142857142857143,0.142857142857143,24,within-category pattern,FALSE,0.0116217138810712,0.377358490566038,0.0188679245283019,0.00684061061819914,1.58860600839096,0.0512129380053908,0.123989218328841
climate,NFFD_at,cropland,cropland,Growing season and degree-days,Autumn,7,0.0067857441899875,0.0179533915872083,0,1,0,0,0.0067857441899875,0.142857142857143,0,0,42,within-category pattern,FALSE,0.00089623036471533,0.0188679245283019,0,0.00588951382527217,7.57142857142857,0.123989218328841,0
