method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
plain_mf,42,155019,254877,120290,12104220,134587,34729,0.986338681856595,0.775969397299686,0.989003258242409,0.471953138180377,0.586929367449304,0.764972655542095
plain_mf,43,5692,24675,4901,12368360,19774,791,0.998340706090274,0.861033028812368,0.998403795115552,0.198622087132725,0.322784601705799,0.85943682392792
plain_mf,44,566191,364800,195271,11658106,169529,370920,0.956393691504141,0.344885383201075,0.98566670344494,0.535282346491228,0.419490628803071,0.330552086646016
plain_mf,45,16405,64247,11734,12324908,52513,4671,0.99538608981601,0.71526973483694,0.995757355268113,0.18263887807991,0.290978525021078,0.711027090105053
plain_mf,46,136482,175759,64957,12146542,110802,71525,0.985288884965789,0.475938218959277,0.990960358133051,0.369579936162586,0.416069638516403,0.466898577092327
plain_mf,47,354447,348528,199318,11890169,149210,155129,0.97544430589876,0.562335130499059,0.987606503624481,0.571885185695267,0.567069952701021,0.54994163412354
plain_mf,48,1624,10087,1465,12383580,8622,159,0.999291502075307,0.902093596059113,0.999304239876012,0.145236442946367,0.250192127060029,0.901397835935126
plain_mf,49,157753,195804,70358,12110627,125446,87395,0.982826852660349,0.446001026921834,0.989747854560855,0.359328716471574,0.39800088811705,0.435748881482688
plain_mf,50,2292,17261,1974,12376247,15287,318,0.998740905350777,0.861256544502618,0.998766335144624,0.114361856207636,0.201912749961643,0.860022879647242
plain_mf,52,23635,47718,20315,12342788,27403,3320,0.997521104459591,0.859530357520626,0.997784755304102,0.425730332369337,0.56942244895099,0.857315112824728
plain_mf,53,64489,97025,50070,12282382,46955,14419,0.995048018263287,0.776411481027772,0.996191603814544,0.516052563772224,0.620008172666147,0.772603084842316
plain_mf,54,11548,24003,10736,12369011,13267,812,0.998864031171649,0.929684793903706,0.998928549334783,0.447277423655376,0.603977384602402,0.92861334323849
plain_mf,55,6383,21732,5417,12371128,16315,966,0.998605676729688,0.848660504464985,0.998682940458334,0.249263758512792,0.385345900764716,0.847343444923319
